"id","uuid","ref_uuid","code","name","description","charge_percent","charge_amount","effect","status_web","is_voucher","status","remarks","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
,"3c600150-d1b1-4cfe-99f1-25f565793a69",,"ewallet","E-Wallet",,,,"+",1,0,1,,,,,,,
,"875eff0e-ae02-4af8-a48d-329fcb581ef4","3c600150-d1b1-4cfe-99f1-25f565793a69","gopay","gopay",,0.02,1500,"+",1,0,1,,,,,,,
,"9a799734-b520-459b-b82f-0f6c7222b95b","3c600150-d1b1-4cfe-99f1-25f565793a69","qris","QRIS",,0.07,0,"+",1,0,1,,,,,,,
,"fbca0a26-9b0d-4c7d-9b5a-ddeae060fe3c","3c600150-d1b1-4cfe-99f1-25f565793a69","shopee_pay","Shopee Pay",,0.02,0,"+",1,0,1,,,,,,,
,"c12cea39-fe88-4718-a1ab-f5d17b708740",,"cc","Credit Card",,0.029,0,"+",1,0,1,,,,,,,
,"73aa6e95-f37b-46a5-9392-ecc6d5a66aae",,"tranfer_va","Bank Transfer (Virtual Account)",,,,"+",1,0,1,,,,,,,
,"c9cd4176-2e07-4d60-bee8-ad945ef010a7","73aa6e95-f37b-46a5-9392-ecc6d5a66aae","bca_va","BCA Virtual Account",,0,5000,"+",1,0,1,,,,,,,
,"c93b404f-5ad7-4618-a345-e978749daa9d","73aa6e95-f37b-46a5-9392-ecc6d5a66aae","bni_va","BNI Virtual Account",,0,5000,"+",1,0,1,,,,,,,
,"ee7fc232-ce4a-42ba-8a0a-19d93721440e","73aa6e95-f37b-46a5-9392-ecc6d5a66aae","bri_va","BRI Virtual Account (BRIVA)",,0,5000,"+",1,0,1,,,,,,,
,"63f8bf34-a059-474e-90b2-8c7e7f77e7b2","73aa6e95-f37b-46a5-9392-ecc6d5a66aae","mandiri_va","Mandiri Virtual Account",,0,5000,"+",1,0,1,,,,,,,
,"d515d791-a3cb-40cf-9232-0ad161f7068e","73aa6e95-f37b-46a5-9392-ecc6d5a66aae","permata_va","Permata Virtual Account",,0,5000,"+",1,0,1,,,,,,,
,"adb4829f-9441-41a0-b86c-7937599c8427","73aa6e95-f37b-46a5-9392-ecc6d5a66aae","cimb_va","CIMB Virtual Account",,0,5000,"+",1,0,1,,,,,,,
,"aa835fef-d7e2-4a6e-8a3d-3aeb10d251ca",,"counter","Counter",,,,"+",1,0,1,,,,,,,
,"cac554ce-2840-4f6e-8870-2c6cbdad5170","aa835fef-d7e2-4a6e-8a3d-3aeb10d251ca","indomaret","Indomaret",,,,"+",1,0,1,,,,,,,
,"b9834cde-3ae5-4e48-96bc-26c15f95f0e9","aa835fef-d7e2-4a6e-8a3d-3aeb10d251ca","alfamart","Alfamart/Alfamidi/Dan+dan",,0,5000,"+",1,0,1,,,,,,,
,"43a05de1-4127-4be7-ab6e-c7fc131dff85",,"direct_debit","Direct Debit",,,,"+",1,0,1,,,,,,,
,"5c6b1f72-6b45-4fb6-88d3-bcfac914a30e","43a05de1-4127-4be7-ab6e-c7fc131dff85","bca_klik_pay","BCA KlikPay",,0,2200,"+",1,0,1,,,,,,,
,"20037acb-d57b-47b1-bbaf-dfbfd1770b97","43a05de1-4127-4be7-ab6e-c7fc131dff85","octo_clicks","CIMB OCTO Clicks",,0,5000,"+",1,0,1,,,,,,,
,"11e6c5a1-faba-4c03-94f2-cc7f6765ecd6","43a05de1-4127-4be7-ab6e-c7fc131dff85","brimo","BRIMO",,0,5000,"+",1,0,1,,,,,,,
,"7a785134-4fe8-4b9a-b76d-ce5662d3d4f4","43a05de1-4127-4be7-ab6e-c7fc131dff85","danamon_online","Danamon Online Banking",,0,5000,"+",1,0,1,,,,,,,
,"f13e1302-46ac-458c-bec1-5a0760bf84c8",,"installment","Installment/Cicilan Tanpa Kartu",,,,"+",1,0,1,,,,,,,
,"b879ea04-3873-44b4-8107-2d89ebde981b","f13e1302-46ac-458c-bec1-5a0760bf84c8","akulaku","Akulaku Paylater",,0.017,0,"+",1,0,1,,,,,,,
,"8452957e-62de-4769-a16c-51da1f409d18","f13e1302-46ac-458c-bec1-5a0760bf84c8","kredivo","Kredivo Paylater",,0.02,0,"+",1,0,1,,,,,,,
,"d281e1d4-5bc3-4ae8-b78a-6654ac7ead9f",,"transfer_manual","Transfer (Verifikasi Manual)",,,,"+",0,0,1,,,,,,,
,"7c02ea36-ed29-43e6-b518-c98a095d7c57","d281e1d4-5bc3-4ae8-b78a-6654ac7ead9f","bca","BCA ",,0,0,"+",0,0,1,,,,,,,
,"0b97fdfa-c1ff-4b67-b59a-b0e842520a03","d281e1d4-5bc3-4ae8-b78a-6654ac7ead9f","mandiri","Bank Mandiri",,0,0,"+",0,0,1,,,,,,,
,"00ea9891-b369-47fe-b5e0-33b8a1328ee7","d281e1d4-5bc3-4ae8-b78a-6654ac7ead9f","bri","BRI",,0,0,"+",0,0,1,,,,,,,
